data_evento,id_empresa,tipo_evento,pagamento,total_participantes,cobertura,coordenador,valor_faturado,royalties,desconto_contratante,contratante,categoria
2017-01-08,19, Convenção Empresarial,NÃO,1208, Daily Chronicle,Marcelo Mendes,,0.0,0.0,Coleman Holdings,400
2017-01-08,16, Convenção Empresarial,NÃO,484, Community Chronicle,Geraldo Pereira,,0.0,0.0,Martinez Corporation,400
2017-01-08,8, Convenção Empresarial,NÃO,1314, News Beat,Marcelo Mendes,,0.0,0.0,Turner Corporation,402
2017-01-08,9, Lançamento de Produto,50% PAGO,688, Global News Network,Marcelo Mendes,49530.5,7429.575,0.0,Coleman Holdings,403
2017-01-08,7, Lançamento de Produto,50% PAGO,1196, City Sun,Geraldo Pereira,64675.0,9701.25,1293.5,Sanchez Holdings,401
2017-01-08,7,Concerto ao Ar Livre,NÃO,194, Express News,Marcelo Mendes,,0.0,0.0,Não Cadastrado,403
2017-01-08,6, Lançamento de Produto,NÃO,1052, News Hub,Geraldo Pereira,,0.0,0.0,Coleman Holdings,400
2017-01-09,4, Lançamento de Produto,SIM,1297, News Hub,Geraldo Pereira,69976.0,10496.4,0.0,Coleman Holdings,400
2017-01-10,5,Congresso Científico,SIM,657, Urban Herald,Natalia Silva,119328.0,17899.2,2386.56,Cook & Sons,402
2017-01-10,2, Fórum de Tecnologia,50% PAGO,1091, Metro Monitor,Geraldo Pereira,75487.0,11323.05,1509.74,Morgan Holdings,403
2017-01-10,2,Exposição de Arte,50% PAGO,306, City Digest,Marcelo Mendes,68782.0,10317.3,1375.64,Coleman Holdings,402
2017-01-10,2, Fórum de Tecnologia,NÃO,1147, City Buzz,Marcelo Mendes,,0.0,0.0,Gonzalez Group,402
2017-01-10,8,Feira de Negócios,NÃO,1300, City Scope,Marcelo Mendes,,0.0,0.0,Mitchell Enterprises,403
2017-01-10,17, Encontro de Networking,NÃO,720, Community Digest,Marcelo Mendes,,0.0,0.0,Walker Partners,403
2017-01-10,15, Fórum de Tecnologia,NÃO,339, The Insightful Gazette,Geraldo Pereira,,0.0,0.0,Evans Enterprises,403
2017-01-10,13, Casamento de Luxo,50% PAGO,782, Trend Watcher,Geraldo Pereira,141582.0,21237.3,0.0,Anderson & Sons,400
2017-01-10,17,Congresso Científico,50% PAGO,1076, Metro Tribune,Vilma Soares,72300.0,10845.0,1446.0,Coleman Holdings,402
2017-01-10,20,Seminário de Desenvolvimento Pessoal,50% PAGO,122,Estadão,Vilma Soares,101506.0,15225.9,2030.1200000000001,Walker Partners,402
2017-01-10,19, Jantar de Gala,50% PAGO,325, The Daily Bulletin,Vilma Soares,63533.0,9529.949999999999,0.0,Coleman Holdings,402
2017-01-10,17,Festival Cultural,50% PAGO,723, The Daily Bulletin,Vilma Soares,50839.0,7625.849999999999,1016.78,Murphy Corporation,400
2017-01-10,17, Lançamento de Produto,NÃO,998, City Buzz,Marcelo Mendes,,0.0,0.0,Nelson Corporation,400
2017-01-12,7, Lançamento de Produto,SIM,1037, Community Chronicle,Marcelo Mendes,19895.5,2984.325,397.91,Clark Corporation,401
2017-01-12,9, Lançamento de Produto,50% PAGO,448,Rede TV New (site),Marcelo Mendes,52280.0,7842.0,0.0,Johnson Enterprises,400
2017-01-12,16,Workshop de Fotografia,SIM,351,Estadão,Marcelo Mendes,10993.5,1649.0249999999999,219.87,Walker Partners,403
2017-01-12,14,Festival Cultural,NÃO,1192, Local Lens,Marcelo Mendes,,0.0,0.0,Ortiz Enterprises,401
2017-01-12,8,Gala de Premiação,SIM,180, News Flash,Vilma Soares,50795.0,7619.25,0.0,Ortiz Enterprises,401
2017-01-12,15,Exposição de Arte,SIM,76, Metro Tribune,Vilma Soares,15192.5,2278.875,303.85,Hall Corporation,402
2017-01-12,3, Jantar de Gala,50% PAGO,1171, News Hub,Natalia Silva,67429.0,10114.35,0.0,Coleman Holdings,403
2017-01-12,10, Lançamento de Produto,NÃO,169, Voice of the City,Natalia Silva,,0.0,0.0,Collins Corporation,401
2017-01-12,8,Concerto ao Ar Livre,50% PAGO,285, The Insightful Gazette,Marcelo Mendes,102254.5,15338.175,2045.0900000000001,Coleman Holdings,400
2017-01-12,4, Show de Comédia,50% PAGO,1314, Metro Herald,Marcelo Mendes,66968.0,10045.199999999999,1339.3600000000001,Lewis Enterprises,401
2017-01-12,19, Feira Gastronômica,50% PAGO,585, Insightful Observer,Marcelo Mendes,12014.0,1802.1,240.28,Murphy Corporation,403
2017-01-12,8, Casamento de Luxo,50% PAGO,777,O Globo,Marcelo Mendes,33267.5,4990.125,0.0,Allen & Co,400
2017-01-12,14, Encontro de Networking,NÃO,1268, Global News Network,Geraldo Pereira,,0.0,0.0,Turner Corporation,403
2017-01-12,2,Workshop de Fotografia,SIM,205, The Press Agency,Geraldo Pereira,81920.0,12288.0,1638.4,Smith Corporation,403
2017-01-12,20, Desfile de Moda,50% PAGO,591, Insightful Observer,Vilma Soares,43590.0,6538.5,871.8000000000001,Hayes Holdings,402
2017-01-12,16, Desfile de Moda,50% PAGO,109, City Newsline,Natalia Silva,96272.0,14440.8,0.0,Não Cadastrado,401
2017-01-28,16,Gala de Premiação,50% PAGO,940, The City Voice,Marcelo Mendes,52158.0,7823.7,0.0,Phillips & Sons,400
2017-01-28,14, Fórum de Tecnologia,SIM,893, Urban Update,Geraldo Pereira,76028.5,11404.275,1520.57,Coleman Holdings,401
2017-01-28,18, Encontro de Networking,SIM,211, Metro Tribune,Marcelo Mendes,74128.5,11119.275,1482.57,Collins Corporation,400
2017-01-28,5,Festival Cultural,SIM,1300, Community Chronicle,Geraldo Pereira,36154.5,5423.175,723.09,Morris Enterprises,402
2017-01-28,12, Competição Esportiva,NÃO,53, Media Monitor,Vilma Soares,,0.0,0.0,Sanchez Holdings,402
2017-01-28,12, Show de Comédia,50% PAGO,679, People's Gazette,Geraldo Pereira,73750.0,11062.5,1475.0,Jones Partners,400
2017-01-29,14, Fórum de Tecnologia,NÃO,956, The Communicator,Vilma Soares,,0.0,0.0,Não Cadastrado,403
2017-02-05,19, Show de Comédia,NÃO,339, Media Matters,Vilma Soares,,0.0,0.0,Nelson Corporation,401
2017-02-05,7,Festival Cultural,50% PAGO,383, Metro Monitor,Marcelo Mendes,26094.5,3914.1749999999997,521.89,Rodriguez Group,403
2017-02-05,19, Jantar de Gala,50% PAGO,1088,O Globo,Vilma Soares,63882.5,9582.375,0.0,Evans Enterprises,401
2017-02-05,5, Evento Beneficente,NÃO,477, The Daily Echo,Natalia Silva,,0.0,0.0,Coleman Holdings,402
2017-02-05,14, Desfile de Moda,NÃO,533, Metro Messenger,Geraldo Pereira,,0.0,0.0,Perez Holdings,403
2017-02-05,20,Exposição de Arte,50% PAGO,87, Media Pulse,Vilma Soares,74695.5,11204.324999999999,1493.91,Coleman Holdings,403
2017-02-05,12,Concerto ao Ar Livre,SIM,1156, Urban Chronicle,Marcelo Mendes,77000.0,11550.0,1540.0,Martinez Corporation,400
2017-02-05,5,Conferência Internacional,NÃO,1212, News Beat,Geraldo Pereira,,0.0,0.0,Adams Holdings,403
2017-02-05,14,Gala de Premiação,NÃO,1296, City Newsline,Geraldo Pereira,,0.0,0.0,Collins Corporation,403
2017-02-05,7, Fórum de Tecnologia,50% PAGO,152, Urban Herald,Natalia Silva,34344.0,5151.599999999999,686.88,Cooper Enterprises,401
2017-02-05,13,Gala de Premiação,50% PAGO,843, Urban Update,Geraldo Pereira,15848.0,2377.2,0.0,Coleman Holdings,401
2017-02-05,5,Workshop de Fotografia,SIM,1039, Trend Watcher,Geraldo Pereira,12137.0,1820.55,242.74,Anderson & Sons,401
2017-02-21,12, Jantar de Gala,50% PAGO,854, Express News,Geraldo Pereira,72871.0,10930.65,0.0,Hall Corporation,401
2017-02-21,17, Competição Esportiva,SIM,1197, The Press Agency,Marcelo Mendes,93398.5,14009.775,1867.97,Sanchez Holdings,400
2017-02-21,6,Festival Cultural,SIM,447, The Daily Insight,Vilma Soares,144636.5,21695.475,2892.73,Rogers Group,400
2017-02-21,18,Conferência Internacional,50% PAGO,1184, The News Gazette,Marcelo Mendes,108466.0,16269.9,0.0,Williams Industries,403
2017-02-22,5,Congresso Científico,SIM,1095, Metro Herald,Marcelo Mendes,92909.5,13936.425,1858.19,Edwards Group,401
2017-02-22,1, Desfile de Moda,50% PAGO,569, The Update,Geraldo Pereira,83660.0,12549.0,1673.2,Lewis Enterprises,401
2017-02-22,1, Encontro de Networking,NÃO,653,Jornal Folha,Marcelo Mendes,,0.0,0.0,Nelson Corporation,402
2017-02-22,17, Lançamento de Produto,50% PAGO,58, Insightful Times,Marcelo Mendes,92160.0,13824.0,1843.2,Rivera Holdings,403
2017-02-22,16, Competição Esportiva,NÃO,259, City Sun,Marcelo Mendes,,0.0,0.0,Gray Enterprises,401
2017-02-22,20,Festival Cultural,NÃO,517, City Pulse,Natalia Silva,,0.0,0.0,Não Cadastrado,401
2017-02-22,15, Encontro de Networking,SIM,1308, The Daily Bulletin,Marcelo Mendes,30145.5,4521.825,602.91,Davis Holdings,403
2017-02-22,14,Feira de Negócios,50% PAGO,737, Urban Herald,Natalia Silva,101075.0,15161.25,2021.5,Não Cadastrado,402
2017-02-22,15, Show de Comédia,SIM,612, Voice of the City,Marcelo Mendes,134252.5,20137.875,2685.05,Coleman Holdings,403
2017-02-22,5,Conferência Internacional,SIM,918, Express News,Marcelo Mendes,136901.5,20535.225,0.0,Brown & Co,403
2017-02-22,20,Workshop de Fotografia,50% PAGO,458, Urban Herald,Marcelo Mendes,123999.0,18599.85,2479.98,Scott Corporation,400
2017-02-22,10, Show de Comédia,50% PAGO,1211, News Flash,Geraldo Pereira,84153.0,12622.949999999999,0.0,Rodriguez Group,400
2017-02-22,17,Exposição de Arte,NÃO,1306, News Flash,Vilma Soares,,0.0,0.0,Coleman Holdings,402
2017-02-22,17, Show de Comédia,NÃO,384, News Hub,Marcelo Mendes,,0.0,0.0,Cooper Enterprises,403
2017-02-22,14,Gala de Premiação,SIM,71, Prime Times,Geraldo Pereira,20247.0,3037.0499999999997,0.0,Coleman Holdings,400
2017-02-22,4,Feira de Negócios,50% PAGO,927, Media Spotlight,Vilma Soares,35369.5,5305.425,707.39,Phillips & Sons,403
2017-02-22,18, Convenção Empresarial,NÃO,378, Media Monitor,Vilma Soares,,0.0,0.0,Coleman Holdings,402
2017-02-22,2, Convenção Empresarial,NÃO,928, News Flash,Marcelo Mendes,,0.0,0.0,Phillips & Sons,400
2017-02-22,7, Feira Gastronômica,SIM,1017, Community Digest,Marcelo Mendes,125222.0,18783.3,2504.44,Rogers Group,402
2017-02-22,16,Festival Cultural,50% PAGO,991, The Informational Herald,Marcelo Mendes,108533.0,16279.949999999999,2170.66,Mitchell Enterprises,403
2017-02-22,9,Congresso Científico,NÃO,754,Yahoo,Vilma Soares,,0.0,0.0,Turner Corporation,402
2017-02-22,14,Workshop de Fotografia,50% PAGO,76, The Daily Insight,Geraldo Pereira,129162.0,19374.3,2583.2400000000002,Não Cadastrado,401
2017-02-22,5, Jantar de Gala,SIM,395, Prime Times,Vilma Soares,147829.5,22174.425,0.0,Ross Corporation,400
2017-02-23,18,Concerto ao Ar Livre,50% PAGO,338, Urban Update,Natalia Silva,110112.0,16516.8,2202.2400000000002,Green & Co,401
2017-02-23,1,Feira de Negócios,50% PAGO,158, Local Lens,Natalia Silva,149027.5,22354.125,2980.55,Garcia Enterprises,403
2017-02-23,3,Congresso Científico,50% PAGO,784, Insightful Times,Geraldo Pereira,82468.0,12370.199999999999,1649.3600000000001,Johnson Enterprises,402
2017-02-23,1, Fórum de Tecnologia,50% PAGO,1082, Urban Herald,Natalia Silva,102448.5,15367.275,2048.9700000000003,Morgan Holdings,402
2017-02-23,3,Festival Cultural,NÃO,1053, Daily Chronicle,Marcelo Mendes,,0.0,0.0,Não Informado,400
2017-02-23,5,Feira de Negócios,NÃO,626, Local Lens,Natalia Silva,,0.0,0.0,Rodriguez Group,401
2017-02-23,4, Casamento de Luxo,SIM,365, The Insightful Gazette,Vilma Soares,117687.0,17653.05,0.0,Green & Co,403
2017-02-23,16, Lançamento de Produto,NÃO,301, Metro Messenger,Marcelo Mendes,,0.0,0.0,Carter & Co,402
2017-02-23,14,Feira de Negócios,50% PAGO,548, The Urban Observer,Vilma Soares,13741.0,2061.15,274.82,Ortiz Enterprises,400
2017-02-23,9, Fórum de Tecnologia,50% PAGO,251, Urban Update,Geraldo Pereira,53864.0,8079.599999999999,1077.28,Russell & Co,402
2017-02-23,9, Evento Beneficente,NÃO,258, The City Voice,Natalia Silva,,0.0,0.0,Russell & Co,401
2017-02-23,15,Seminário de Desenvolvimento Pessoal,50% PAGO,500, Community Digest,Marcelo Mendes,141144.5,21171.675,2822.89,Coleman Holdings,403
2017-02-23,15, Competição Esportiva,SIM,438, Media Express,Geraldo Pereira,126208.5,18931.274999999998,2524.17,Hernandez Group,401
2017-02-23,13,Workshop de Fotografia,SIM,872, Media Tracker,Geraldo Pereira,10587.5,1588.125,211.75,Não Cadastrado,401
2017-02-23,4, Fórum de Tecnologia,SIM,1292, Express News,Vilma Soares,59839.0,8975.85,0.0,Stewart & Co,402
2017-02-23,15, Show de Comédia,SIM,764, The Daily Insight,Natalia Silva,50617.5,7592.625,1012.35,Ortiz Enterprises,401
2017-02-23,8, Casamento de Luxo,NÃO,383, Local Lens,Geraldo Pereira,,0.0,0.0,Reed Corporation,403
2017-02-23,12, Casamento de Luxo,50% PAGO,680, The Communicator,Natalia Silva,105654.0,15848.099999999999,0.0,Rivera Holdings,402
2017-02-23,16, Show de Comédia,50% PAGO,166,O Globo,Geraldo Pereira,102503.0,15375.449999999999,2050.06,Johnson Enterprises,402
2017-02-23,4,Festival Cultural,50% PAGO,336, The Daily Insight,Marcelo Mendes,51399.0,7709.849999999999,1027.98,Bennett Holdings,403
2017-02-23,7, Encontro de Networking,NÃO,362, The Daily Echo,Geraldo Pereira,,0.0,0.0,Coleman Holdings,402
2017-02-23,3, Competição Esportiva,50% PAGO,214, Media Express,Natalia Silva,58312.0,8746.8,1166.24,Allen & Co,401
2017-02-23,8, Encontro de Networking,SIM,715, Media Pulse,Natalia Silva,46936.0,7040.4,938.72,Anderson & Sons,402
2017-02-23,5, Fórum de Tecnologia,SIM,1223,Veja,Natalia Silva,30921.0,4638.15,618.42,Coleman Holdings,403
2017-02-23,20, Jantar de Gala,NÃO,1099, Media Maven,Vilma Soares,,0.0,0.0,Coleman Holdings,403
2017-02-23,15,Conferência Internacional,NÃO,812, Community Chronicle,Geraldo Pereira,,0.0,0.0,Taylor Group,402
2017-02-23,20, Jantar de Gala,SIM,466, Info Stream,Natalia Silva,106663.0,15999.449999999999,0.0,Anderson & Sons,401
2017-02-23,9,Workshop de Fotografia,SIM,581, Metro Tribune,Marcelo Mendes,261607.0,39241.049999999996,5232.14,Evans Enterprises,403
2017-02-23,7, Convenção Empresarial,50% PAGO,1188, Insightful Observer,Vilma Soares,280250.0,42037.5,5605.0,Collins Corporation,403
2017-02-23,9,Feira de Negócios,50% PAGO,756, Prime Times,Marcelo Mendes,108625.0,16293.75,2172.5,Perez Holdings,402
2017-02-23,5,Concerto ao Ar Livre,50% PAGO,782, Media Tracker,Geraldo Pereira,54753.0,8212.949999999999,1095.06,Coleman Holdings,400
2017-02-23,15, Feira Gastronômica,NÃO,392, The Information Hub,Geraldo Pereira,,0.0,0.0,Rivera Holdings,400
2017-02-23,5, Lançamento de Produto,NÃO,876, The Information Hub,Geraldo Pereira,,0.0,0.0,Cook & Sons,401
2017-02-23,13, Convenção Empresarial,50% PAGO,865, The Information Digest,Vilma Soares,108311.0,16246.65,2166.2200000000003,Coleman Holdings,402
2017-02-23,5,Seminário de Desenvolvimento Pessoal,50% PAGO,1146,Veja,Marcelo Mendes,63410.0,9511.5,1268.2,Coleman Holdings,402
2017-02-23,4, Fórum de Tecnologia,50% PAGO,857, Info Stream,Natalia Silva,116365.0,17454.75,2327.3,Nelson & Sons,403
2017-02-23,17, Fórum de Tecnologia,NÃO,724, News Hub,Geraldo Pereira,,0.0,0.0,Não Cadastrado,401
2017-02-23,20, Casamento de Luxo,NÃO,159, Urban Express,Natalia Silva,,0.0,0.0,Coleman Holdings,401
2017-02-23,12,Congresso Científico,NÃO,328, The Informational Herald,Natalia Silva,,0.0,0.0,Bailey & Co,402
2017-02-23,20,Feira de Negócios,SIM,487, The Update,Geraldo Pereira,74960.0,11244.0,1499.2,Gonzalez Group,401
2017-02-23,19, Competição Esportiva,SIM,421, City Digest,Vilma Soares,290815.0,43622.25,5816.3,Não Cadastrado,402
2017-02-23,8, Convenção Empresarial,SIM,1294, Newsline Journal,Natalia Silva,95700.0,14355.0,0.0,Coleman Holdings,402
2017-02-24,17, Show de Comédia,NÃO,445, Media Matters,Vilma Soares,,0.0,0.0,Não Cadastrado,400
2017-02-24,17, Desfile de Moda,NÃO,1081, City Digest,Marcelo Mendes,,0.0,0.0,Não Cadastrado,403
2017-02-24,7,Feira de Negócios,50% PAGO,535,Estadão,Natalia Silva,109735.0,16460.25,2194.7000000000003,Coleman Holdings,400
2017-02-24,4,Exposição de Arte,50% PAGO,626, The Daily Echo,Vilma Soares,204457.0,30668.55,4089.14,Young Holdings,400
2017-02-24,4, Desfile de Moda,NÃO,352, Prime Times,Marcelo Mendes,,0.0,0.0,Não Cadastrado,400
2017-02-24,2, Casamento de Luxo,50% PAGO,937, Global News Network,Marcelo Mendes,280181.0,42027.15,0.0,Bailey & Co,401
2017-02-24,3,Festival Cultural,50% PAGO,570, Community Chronicle,Geraldo Pereira,68157.0,10223.55,1363.14,Roberts Partners,402
2017-02-24,14,Workshop de Fotografia,50% PAGO,800, Insightful Observer,Vilma Soares,173335.0,26000.25,3466.7000000000003,Não Cadastrado,401
2017-02-24,19,Concerto ao Ar Livre,SIM,753, People's Gazette,Marcelo Mendes,51691.0,7753.65,1033.82,Jones Partners,403
2017-02-24,15, Evento Beneficente,SIM,839, The Daily Insight,Geraldo Pereira,231112.0,34666.799999999996,4622.24,Taylor Group,403
2017-02-24,7, Show de Comédia,NÃO,601, The Daily Echo,Vilma Soares,,0.0,0.0,Morris Enterprises,400
2017-02-24,5, Jantar de Gala,50% PAGO,297, The Daily Report,Vilma Soares,82730.0,12409.5,0.0,Hall Corporation,400
2017-02-24,12, Evento Beneficente,50% PAGO,631,O Globo,Vilma Soares,250294.0,37544.1,5005.88,Sanchez Holdings,401
2017-02-24,19, Convenção Empresarial,50% PAGO,728, Insight Today,Geraldo Pereira,273222.0,40983.299999999996,5464.4400000000005,Green & Co,401
2017-02-24,13, Feira Gastronômica,50% PAGO,367, News Flash,Geraldo Pereira,71512.0,10726.8,0.0,Wright Enterprises,403
2017-02-24,12, Show de Comédia,50% PAGO,787, Media Matters,Marcelo Mendes,89261.0,13389.15,1785.22,Não Cadastrado,402
2017-02-24,9, Feira Gastronômica,50% PAGO,854, Newsline Journal,Geraldo Pereira,50420.0,7563.0,0.0,Não Cadastrado,401
2017-02-24,11,Gala de Premiação,NÃO,866, Media Express,Geraldo Pereira,,0.0,0.0,Phillips & Sons,403
2017-02-24,3,Exposição de Arte,NÃO,658, News Flash,Marcelo Mendes,,0.0,0.0,Ortiz Enterprises,403
2017-02-24,15,Concerto ao Ar Livre,50% PAGO,643, Info Stream,Natalia Silva,74947.0,11242.05,1498.94,Martinez Corporation,403
2017-02-24,12, Desfile de Moda,NÃO,587, Media Monitor,Vilma Soares,,0.0,0.0,Rivera Holdings,401
2017-02-24,9, Jantar de Gala,NÃO,658, City Sun,Natalia Silva,,0.0,0.0,Turner Corporation,402
2017-02-24,5,Seminário de Desenvolvimento Pessoal,50% PAGO,917, Local Times,Geraldo Pereira,172695.0,25904.25,3453.9,Ross Corporation,402
2017-02-24,7, Competição Esportiva,SIM,1053, Community Digest,Geraldo Pereira,107330.0,16099.5,2146.6,Foster Corporation,400
2017-02-24,3,Conferência Internacional,SIM,141, The Information Hub,Geraldo Pereira,41023.0,6153.45,820.46,Coleman Holdings,402
2017-02-24,17, Lançamento de Produto,NÃO,462, The Daily Bulletin,Natalia Silva,,0.0,0.0,Coleman Holdings,402
2017-02-24,5,Festival Cultural,50% PAGO,410,Yahoo,Marcelo Mendes,59142.0,8871.3,1182.84,Murphy Corporation,401
2017-02-24,19,Festival Cultural,50% PAGO,927, Insightful Times,Vilma Soares,58914.0,8837.1,1178.28,Foster Corporation,400
2017-02-24,18,Seminário de Desenvolvimento Pessoal,50% PAGO,661, News Wave,Geraldo Pereira,98148.0,14722.199999999999,0.0,Coleman Holdings,402
2017-02-24,9,Festival Cultural,50% PAGO,649, Media Monitor,Geraldo Pereira,147553.0,22132.95,2951.06,Coleman Holdings,401
2017-02-24,12, Encontro de Networking,50% PAGO,1303, City Scope,Vilma Soares,62874.0,9431.1,1257.48,Stewart & Co,402
2017-02-24,8, Casamento de Luxo,SIM,935, Insightful Observer,Natalia Silva,61704.0,9255.6,0.0,Coleman Holdings,402
2017-02-24,11, Competição Esportiva,50% PAGO,50, The Informational Herald,Geraldo Pereira,95026.0,14253.9,1900.52,Não Cadastrado,401
2017-02-24,16, Fórum de Tecnologia,50% PAGO,271, Prime Times,Vilma Soares,77753.0,11662.949999999999,1555.06,Rivera Holdings,402
2017-02-24,12, Convenção Empresarial,50% PAGO,87, Insightful Observer,Natalia Silva,202427.0,30364.05,4048.54,Não Informado,402
2017-02-24,6,Seminário de Desenvolvimento Pessoal,50% PAGO,910, Voice of the City,Geraldo Pereira,90746.0,13611.9,1814.92,Wright Enterprises,403
2017-02-24,10,Workshop de Fotografia,SIM,263, Prime Times,Vilma Soares,131691.0,19753.649999999998,2633.82,Coleman Holdings,403
2017-02-24,19, Fórum de Tecnologia,SIM,239, City News Now,Marcelo Mendes,197143.0,29571.449999999997,0.0,Green & Co,403
2017-02-24,19,Festival Cultural,50% PAGO,560, City Scope,Natalia Silva,60857.0,9128.55,1217.14,Anderson & Sons,403
2017-02-24,20,Workshop de Fotografia,NÃO,1074, City News Now,Natalia Silva,,0.0,0.0,Edwards Group,400
2017-02-24,4, Convenção Empresarial,NÃO,778, Urban Express,Geraldo Pereira,,0.0,0.0,Não Cadastrado,401
2017-02-24,17, Casamento de Luxo,50% PAGO,973, Media Tracker,Vilma Soares,90064.0,13509.6,0.0,Jones Partners,400
2017-02-24,5, Feira Gastronômica,NÃO,335, Info Stream,Natalia Silva,,0.0,0.0,Hernandez Group,400
2017-02-24,7, Evento Beneficente,SIM,650, The Urban Tribune,Geraldo Pereira,65492.0,9823.8,1309.84,Coleman Holdings,401
2017-02-24,7,Exposição de Arte,50% PAGO,562, The Daily Echo,Vilma Soares,277257.0,41588.549999999996,5545.14,Rodriguez Group,403
2017-02-24,12, Evento Beneficente,SIM,1192, City News Now,Natalia Silva,225027.0,33754.049999999996,0.0,Reed Corporation,400
2017-02-24,13, Competição Esportiva,50% PAGO,478, News Wave,Geraldo Pereira,237967.0,35695.049999999996,0.0,Davis Holdings,400
2017-02-24,6, Casamento de Luxo,SIM,333, Metro Monitor,Geraldo Pereira,110225.0,16533.75,0.0,Hall Corporation,403
2017-02-24,16,Exposição de Arte,50% PAGO,1004, City Buzz,Marcelo Mendes,56168.0,8425.199999999999,1123.3600000000001,Wilson Industries,400
2017-02-24,9,Seminário de Desenvolvimento Pessoal,SIM,892, Prime Times,Marcelo Mendes,48177.0,7226.55,963.54,Wright Enterprises,403
2017-02-24,1,Concerto ao Ar Livre,NÃO,85, Urban Herald,Geraldo Pereira,,0.0,0.0,Adams Holdings,403
2017-02-24,20, Evento Beneficente,50% PAGO,131,Yahoo,Geraldo Pereira,57795.0,8669.25,1155.9,Bailey & Co,400
2017-02-24,5, Jantar de Gala,SIM,352, Metro Messenger,Marcelo Mendes,28854.0,4328.099999999999,0.0,Cook & Sons,401
2017-02-24,18,Festival Cultural,SIM,545, News Flash,Natalia Silva,173615.0,26042.25,0.0,Nelson Corporation,401
2017-02-24,12,Congresso Científico,50% PAGO,696, Voice of the City,Marcelo Mendes,93835.0,14075.25,1876.7,Não Cadastrado,400
2017-02-24,19, Jantar de Gala,NÃO,149,Jornal Folha,Natalia Silva,,0.0,0.0,Jones Partners,400
2017-02-24,6, Lançamento de Produto,50% PAGO,564, Metro Messenger,Natalia Silva,93080.0,13962.0,1861.6000000000001,Jones Partners,401
2017-02-24,20, Show de Comédia,50% PAGO,802, Media Matters,Natalia Silva,62656.0,9398.4,1253.1200000000001,Turner Corporation,403
2017-02-24,6, Encontro de Networking,50% PAGO,935,Jornal Folha,Vilma Soares,71595.0,10739.25,1431.9,Brown & Co,403
2017-02-24,4, Casamento de Luxo,50% PAGO,1204, City Pulse,Geraldo Pereira,76227.0,11434.05,0.0,Gonzalez Group,402
2017-02-25,2, Fórum de Tecnologia,50% PAGO,372, Prime Times,Marcelo Mendes,98558.0,14783.699999999999,1971.16,Coleman Holdings,400
2017-02-25,18,Conferência Internacional,50% PAGO,1057, Media Maven,Geraldo Pereira,78760.0,11814.0,1575.2,Coleman Holdings,402
2017-02-25,2,Concerto ao Ar Livre,SIM,700, City Scope,Natalia Silva,261830.0,39274.5,5236.6,Coleman Holdings,402
2017-02-25,7,Workshop de Fotografia,50% PAGO,1222, The Daily Echo,Marcelo Mendes,58708.0,8806.199999999999,1174.16,Martinez Corporation,402
