DATA;ESTADOS;UF;TOTAL DE ACESSOS;PERIODO_DE_ACESSOS;QTDE_SEGMENTOS_ESTADOS;TIPO_DE_CONTA;VALOR
10/03/2023;Espírito Santo;ES;2413;Madrugada;Novelas;PLANO BASICO; R$ 19,90 
22/01/2023;Mato Grosso do Sul;MS;9296;Noite;Teen;PLANO PADRAO; R$ 27,90 
22/03/2023;Roraima;RR;4654;Noite;Braliseiros;PLANO BASICO; R$ 19,90 
09/03/2023;Amapá;AP;1410;Madrugada;Para Crianças;PLANO PREMIUM; R$ 37,90 
03/03/2023;Rio Grande do Norte;RN;7166;Manhã;Drama;PLANO BASICO; R$ 19,90 
29/03/2023;Rio de Janeiro;RJ;6717;Madrugada;Terror;PLANO PREMIUM; R$ 37,90 
02/02/2023;Minas Gerais;MG;5015;Tarde;Comédia;PLANO PREMIUM; R$ 37,90 
10/02/2023;Rio Grande do Sul;RS;3545;Noite;Ficção Cientifica e fantasia;PLANO PADRAO; R$ 27,90 
24/03/2023;Alagoas;AL;4941;Manhã;Asiaticos;PLANO PADRAO; R$ 27,90 
16/03/2023;Rio de Janeiro;RJ;5898;Madrugada;Romance;PLANO PADRAO; R$ 27,90 
27/03/2023;Acre;AC;5528;Madrugada;Esporte;PLANO PADRAO; R$ 27,90 
11/01/2023;Santa Catarina;SC;5936;Tarde;Ficção Cientifica e fantasia;PLANO BASICO; R$ 19,90 
07/01/2023;Amapá;AP;5321;Tarde;Asiaticos;PLANO PREMIUM; R$ 37,90 
22/01/2023;Rio Grande do Norte;RN;3814;Tarde;Reality e Talks;PLANO PADRAO; R$ 27,90 
19/02/2023;Piauí;PI;4510;Manhã;Esporte;PLANO BASICO; R$ 19,90 
26/01/2023;Minas Gerais;MG;9839;Manhã;Politica;PLANO PREMIUM; R$ 37,90 
02/01/2023;Sergipe;SE;4908;Madrugada;EUA;PLANO PREMIUM; R$ 37,90 
12/03/2023;Paraná;PR;3181;Madrugada;EUA;PLANO BASICO; R$ 19,90 
23/01/2023;Rondônia;RO;1374;Tarde;Teen;PLANO PADRAO; R$ 27,90 
12/03/2023;Mato Grosso do Sul;MS;1240;Madrugada;Novelas;PLANO BASICO; R$ 19,90 
24/03/2023;Amazonas;AM;1797;Noite;Terror;PLANO PREMIUM; R$ 37,90 
06/01/2023;Santa Catarina;SC;9444;Tarde;Para Crianças;PLANO PREMIUM; R$ 37,90 
14/01/2023;Rio Grande do Sul;RS;4178;Noite;Misterio;PLANO PADRAO; R$ 27,90 
20/01/2023;Amapá;AP;1036;Noite;Braliseiros;PLANO PREMIUM; R$ 37,90 
24/03/2023;Goiás;GO;2219;Madrugada;EUA;PLANO PADRAO; R$ 27,90 
05/03/2023;Paraíba;PB;5633;Tarde;Novelas;PLANO PREMIUM; R$ 37,90 
16/02/2023;Espírito Santo;ES;717;Manhã;Asiaticos;PLANO BASICO; R$ 19,90 
14/02/2023;Mato Grosso do Sul;MS;4171;Manhã;Series e Documentarios;PLANO PADRAO; R$ 27,90 
12/03/2023;Bahia;BA;5473;Manhã;Series e Documentarios;PLANO PADRAO; R$ 27,90 
26/02/2023;Rio Grande do Sul;RS;6344;Manhã;Ciência e Natureza;PLANO BASICO; R$ 19,90 
09/01/2023;Amazonas;AM;6126;Tarde;Para Crianças;PLANO PREMIUM; R$ 37,90 
14/02/2023;Sergipe;SE;5060;Noite;Anime;PLANO PREMIUM; R$ 37,90 
03/02/2023;Rondônia;RO;2788;Madrugada;Anime;PLANO BASICO; R$ 19,90 
09/02/2023;Piauí;PI;3053;Noite;Romance;PLANO BASICO; R$ 19,90 
06/03/2023;Rio de Janeiro;RJ;609;Manhã;Drama;PLANO BASICO; R$ 19,90 
24/03/2023;Bahia;BA;3926;Tarde;Terror;PLANO PREMIUM; R$ 37,90 
03/01/2023;Rio Grande do Sul;RS;9246;Tarde;Series e Documentarios;PLANO PADRAO; R$ 27,90 
02/01/2023;Maranhão;MA;5431;Madrugada;Misterio;PLANO BASICO; R$ 19,90 
16/02/2023;Rio de Janeiro;RJ;5598;Tarde;Romance;PLANO PREMIUM; R$ 37,90 
15/01/2023;Alagoas;AL;3616;Tarde;Ficção Cientifica e fantasia;PLANO BASICO; R$ 19,90 
04/03/2023;Goiás;GO;5570;Tarde;Asiaticos;PLANO PADRAO; R$ 27,90 
01/03/2023;Rondônia;RO;3337;Manhã;Para Crianças;PLANO PADRAO; R$ 27,90 
06/03/2023;Santa Catarina;SC;6492;Tarde;Novas Pers.Sobre. Def;PLANO BASICO; R$ 19,90 
06/01/2023;Santa Catarina;SC;5790;Tarde;Novelas;PLANO PREMIUM; R$ 37,90 
06/01/2023;Rondônia;RO;5525;Madrugada;Novelas;PLANO PREMIUM; R$ 37,90 
20/02/2023;Tocantins;TO;6330;Tarde;Asiaticos;PLANO PREMIUM; R$ 37,90 
15/01/2023;Pernambuco;PE;1180;Noite;Misterio;PLANO PADRAO; R$ 27,90 
15/01/2023;Piauí;PI;519;Tarde;Misterio;PLANO BASICO; R$ 19,90 
28/02/2023;Santa Catarina;SC;442;Tarde;Series e Documentarios;PLANO PREMIUM; R$ 37,90 
26/03/2023;Espírito Santo;ES;3643;Manhã;Comédia;PLANO BASICO; R$ 19,90 
02/03/2023;Acre;AC;2221;Tarde;Ciência e Natureza;PLANO PADRAO; R$ 27,90 
25/03/2023;São Paulo;SP;2337;Tarde;Terror;PLANO BASICO; R$ 19,90 
26/01/2023;Mato Grosso;MT;4505;Manhã;Ciência e Natureza;PLANO BASICO; R$ 19,90 
19/01/2023;Sergipe;SE;6819;Manhã;Drama;PLANO PADRAO; R$ 27,90 
25/02/2023;Pernambuco;PE;8915;Tarde;Braliseiros;PLANO BASICO; R$ 19,90 
26/01/2023;Ceará;CE;3443;Tarde;Novas Pers.Sobre. Def;PLANO BASICO; R$ 19,90 
15/01/2023;Tocantins;TO;5459;Noite;Para Crianças;PLANO BASICO; R$ 19,90 
08/01/2023;Amapá;AP;2323;Manhã;Ficção Cientifica e fantasia;PLANO PREMIUM; R$ 37,90 
11/03/2023;Paraná;PR;7976;Noite;Esporte;PLANO PREMIUM; R$ 37,90 
09/03/2023;Sergipe;SE;5294;Tarde;Ciência e Natureza;PLANO BASICO; R$ 19,90 
21/03/2023;Santa Catarina;SC;7500;Madrugada;Ciência e Natureza;PLANO PREMIUM; R$ 37,90 
13/02/2023;Maranhão;MA;8035;Madrugada;Comédia;PLANO PADRAO; R$ 27,90 
22/01/2023;Minas Gerais;MG;3601;Madrugada;Teen;PLANO PADRAO; R$ 27,90 
02/01/2023;Amazonas;AM;6523;Madrugada;EUA;PLANO PREMIUM; R$ 37,90 
10/03/2023;Santa Catarina;SC;7047;Tarde;Ciência e Natureza;PLANO PREMIUM; R$ 37,90 
18/02/2023;Rio Grande do Sul;RS;7378;Manhã;Series e Documentarios;PLANO PREMIUM; R$ 37,90 
06/02/2023;Rio de Janeiro;RJ;7313;Tarde;Novelas;PLANO PADRAO; R$ 27,90 
19/03/2023;Paraíba;PB;6468;Tarde;Reality e Talks;PLANO PREMIUM; R$ 37,90 
27/03/2023;Distrito Federal;DF;9769;Madrugada;Esporte;PLANO PREMIUM; R$ 37,90 
25/02/2023;Distrito Federal;DF;7123;Manhã;EUA;PLANO PREMIUM; R$ 37,90 
04/01/2023;Sergipe;SE;4856;Manhã;Para Crianças;PLANO PADRAO; R$ 27,90 
28/01/2023;Rio Grande do Norte;RN;547;Noite;Braliseiros;PLANO BASICO; R$ 19,90 
11/03/2023;Paraná;PR;517;Noite;Para Crianças;PLANO PREMIUM; R$ 37,90 
06/03/2023;Goiás;GO;5625;Madrugada;Reality e Talks;PLANO PADRAO; R$ 27,90 
23/02/2023;Rio Grande do Sul;RS;2087;Tarde;Romance;PLANO PREMIUM; R$ 37,90 
30/01/2023;Espírito Santo;ES;591;Noite;Drama;PLANO PREMIUM; R$ 37,90 
09/01/2023;Goiás;GO;7365;Noite;Ação;PLANO PREMIUM; R$ 37,90 
17/01/2023;Distrito Federal;DF;4109;Tarde;Asiaticos;PLANO BASICO; R$ 19,90 
25/02/2023;Mato Grosso;MT;6462;Madrugada;Asiaticos;PLANO BASICO; R$ 19,90 
25/02/2023;Ceará;CE;1112;Madrugada;Braliseiros;PLANO PADRAO; R$ 27,90 
25/03/2023;Paraíba;PB;503;Tarde;Asiaticos;PLANO PREMIUM; R$ 37,90 
01/02/2023;Acre;AC;708;Noite;Romance;PLANO PREMIUM; R$ 37,90 
24/03/2023;Maranhão;MA;1095;Noite;Ficção Cientifica e fantasia;PLANO PREMIUM; R$ 37,90 
21/02/2023;Rondônia;RO;9656;Manhã;Novas Pers.Sobre. Def;PLANO BASICO; R$ 19,90 
02/01/2023;Piauí;PI;6577;Madrugada;Ciência e Natureza;PLANO PREMIUM; R$ 37,90 
03/01/2023;Santa Catarina;SC;8753;Noite;Romance;PLANO BASICO; R$ 19,90 
05/03/2023;Tocantins;TO;7640;Madrugada;Para Crianças;PLANO PADRAO; R$ 27,90 
02/02/2023;Distrito Federal;DF;9032;Manhã;Para Crianças;PLANO PREMIUM; R$ 37,90 
20/01/2023;São Paulo;SP;6425;Madrugada;Novas Pers.Sobre. Def;PLANO PADRAO; R$ 27,90 
24/01/2023;Goiás;GO;7064;Noite;Misterio;PLANO PADRAO; R$ 27,90 
28/03/2023;Amapá;AP;6663;Manhã;Para Crianças;PLANO PREMIUM; R$ 37,90 
02/03/2023;Rondônia;RO;7662;Noite;Reality e Talks;PLANO PREMIUM; R$ 37,90 
25/02/2023;Rio Grande do Sul;RS;8327;Tarde;Misterio;PLANO BASICO; R$ 19,90 
05/02/2023;Paraíba;PB;2177;Madrugada;Para Crianças;PLANO PREMIUM; R$ 37,90 
03/01/2023;Acre;AC;7411;Madrugada;Politica;PLANO PREMIUM; R$ 37,90 
28/03/2023;Minas Gerais;MG;5065;Manhã;Ficção Cientifica e fantasia;PLANO PADRAO; R$ 27,90 
15/02/2023;Rondônia;RO;1943;Madrugada;Teen;PLANO PADRAO; R$ 27,90 
19/01/2023;Piauí;PI;4620;Tarde;Drama;PLANO PREMIUM; R$ 37,90 
12/01/2023;Distrito Federal;DF;802;Madrugada;Ficção Cientifica e fantasia;PLANO PREMIUM; R$ 37,90 
18/03/2023;Rio de Janeiro;RJ;9122;Manhã;EUA;PLANO BASICO; R$ 19,90 
07/03/2023;Rio Grande do Sul;RS;4950;Noite;Romance;PLANO PADRAO; R$ 27,90 
25/01/2023;Paraíba;PB;9560;Noite;Misterio;PLANO PREMIUM; R$ 37,90 
16/02/2023;Acre;AC;8616;Manhã;Ficção Cientifica e fantasia;PLANO PREMIUM; R$ 37,90 
02/02/2023;Rio Grande do Norte;RN;634;Tarde;Ciência e Natureza;PLANO PREMIUM; R$ 37,90 
06/03/2023;Paraíba;PB;7299;Tarde;Anime;PLANO BASICO; R$ 19,90 
02/03/2023;Goiás;GO;2866;Noite;Drama;PLANO PADRAO; R$ 27,90 
28/03/2023;Rio de Janeiro;RJ;2427;Manhã;Comédia;PLANO PREMIUM; R$ 37,90 
07/02/2023;Paraíba;PB;5606;Manhã;Asiaticos;PLANO PADRAO; R$ 27,90 
24/01/2023;Espírito Santo;ES;7965;Tarde;Esporte;PLANO PADRAO; R$ 27,90 
23/01/2023;São Paulo;SP;5656;Noite;EUA;PLANO BASICO; R$ 19,90 
29/01/2023;Goiás;GO;7672;Madrugada;Novelas;PLANO PREMIUM; R$ 37,90 
07/01/2023;Rio de Janeiro;RJ;2072;Tarde;Asiaticos;PLANO PREMIUM; R$ 37,90 
28/03/2023;Rondônia;RO;3509;Madrugada;Anime;PLANO PREMIUM; R$ 37,90 
07/02/2023;Rio Grande do Sul;RS;8097;Manhã;Series e Documentarios;PLANO BASICO; R$ 19,90 
06/01/2023;Amazonas;AM;5102;Tarde;Terror;PLANO PREMIUM; R$ 37,90 
22/03/2023;Minas Gerais;MG;8031;Noite;Teen;PLANO PREMIUM; R$ 37,90 
06/03/2023;Mato Grosso do Sul;MS;7529;Madrugada;Misterio;PLANO PREMIUM; R$ 37,90 
12/03/2023;Minas Gerais;MG;1524;Manhã;Asiaticos;PLANO BASICO; R$ 19,90 
13/03/2023;Tocantins;TO;2459;Tarde;Esporte;PLANO PREMIUM; R$ 37,90 
06/01/2023;Maranhão;MA;1888;Manhã;Anime;PLANO BASICO; R$ 19,90 
21/02/2023;Paraíba;PB;7927;Tarde;Esporte;PLANO PREMIUM; R$ 37,90 
22/01/2023;Amazonas;AM;4332;Madrugada;Novelas;PLANO PREMIUM; R$ 37,90 
02/01/2023;Pará;PA;9760;Manhã;Teen;PLANO BASICO; R$ 19,90 
09/01/2023;Amazonas;AM;8366;Noite;EUA;PLANO PREMIUM; R$ 37,90 
09/03/2023;Pará;PA;3239;Manhã;Series e Documentarios;PLANO PREMIUM; R$ 37,90 
28/02/2023;Distrito Federal;DF;7661;Tarde;Teen;PLANO PREMIUM; R$ 37,90 
09/03/2023;Piauí;PI;8271;Manhã;Series e Documentarios;PLANO BASICO; R$ 19,90 
12/02/2023;Espírito Santo;ES;3747;Tarde;Para Crianças;PLANO PREMIUM; R$ 37,90 
06/02/2023;Tocantins;TO;9217;Noite;Ação;PLANO BASICO; R$ 19,90 
09/02/2023;Roraima;RR;2172;Noite;Misterio;PLANO PREMIUM; R$ 37,90 
25/01/2023;Rondônia;RO;6517;Madrugada;Ciência e Natureza;PLANO BASICO; R$ 19,90 
14/03/2023;Piauí;PI;5178;Madrugada;EUA;PLANO PADRAO; R$ 27,90 
27/03/2023;Distrito Federal;DF;9137;Manhã;Braliseiros;PLANO PREMIUM; R$ 37,90 
14/02/2023;Rio Grande do Sul;RS;1569;Noite;Series e Documentarios;PLANO PREMIUM; R$ 37,90 
15/03/2023;Roraima;RR;7619;Noite;Esporte;PLANO PREMIUM; R$ 37,90 
12/02/2023;Minas Gerais;MG;6379;Madrugada;Braliseiros;PLANO PADRAO; R$ 27,90 
11/03/2023;Espírito Santo;ES;8440;Noite;Terror;PLANO BASICO; R$ 19,90 
13/02/2023;Ceará;CE;3324;Madrugada;Ciência e Natureza;PLANO PREMIUM; R$ 37,90 
24/02/2023;Ceará;CE;6613;Manhã;Ficção Cientifica e fantasia;PLANO PREMIUM; R$ 37,90 
03/02/2023;Santa Catarina;SC;4605;Noite;Misterio;PLANO PADRAO; R$ 27,90 
23/01/2023;Maranhão;MA;2547;Manhã;Novas Pers.Sobre. Def;PLANO BASICO; R$ 19,90 
09/03/2023;Mato Grosso do Sul;MS;8184;Manhã;Novelas;PLANO PADRAO; R$ 27,90 
25/01/2023;Rio de Janeiro;RJ;7351;Madrugada;Ficção Cientifica e fantasia;PLANO BASICO; R$ 19,90 
11/03/2023;Paraíba;PB;8588;Tarde;Ciência e Natureza;PLANO PREMIUM; R$ 37,90 
26/01/2023;Maranhão;MA;6580;Noite;Reality e Talks;PLANO BASICO; R$ 19,90 
17/01/2023;Santa Catarina;SC;844;Tarde;Braliseiros;PLANO PREMIUM; R$ 37,90 
24/03/2023;Espírito Santo;ES;5189;Madrugada;Para Crianças;PLANO BASICO; R$ 19,90 
29/03/2023;Espírito Santo;ES;5189;Manhã;EUA;PLANO BASICO; R$ 19,90 
06/03/2023;Rio Grande do Norte;RN;6407;Tarde;Para Crianças;PLANO PREMIUM; R$ 37,90 
15/02/2023;Paraíba;PB;8639;Noite;Asiaticos;PLANO PREMIUM; R$ 37,90 
11/01/2023;Espírito Santo;ES;8103;Manhã;Teen;PLANO PREMIUM; R$ 37,90 
24/02/2023;Rio Grande do Sul;RS;7005;Noite;Ação;PLANO PREMIUM; R$ 19,90 
23/02/2023;Bahia;BA;8982;Noite;Asiaticos;PLANO PADRAO; R$ 27,90 
16/02/2023;Espírito Santo;ES;3179;Manhã;Ciência e Natureza;PLANO PREMIUM; R$ 37,90 
09/01/2023;Goiás;GO;1246;Noite;Anime;PLANO BASICO; R$ 19,90 
22/01/2023;Piauí;PI;2024;Madrugada;Drama;PLANO PADRAO; R$ 27,90 
13/03/2023;Piauí;PI;9634;Noite;Drama;PLANO PREMIUM; R$ 37,90 
14/01/2023;Santa Catarina;SC;9685;Noite;Series e Documentarios;PLANO PADRAO; R$ 27,90 
15/03/2023;Santa Catarina;SC;366;Manhã;Anime;PLANO PREMIUM; R$ 37,90 
06/02/2023;Minas Gerais;MG;687;Noite;Novas Pers.Sobre. Def;PLANO PREMIUM; R$ 37,90 
05/02/2023;São Paulo;SP;2142;Noite;Braliseiros;PLANO BASICO; R$ 19,90 
27/03/2023;Amapá;AP;592;Noite;Series e Documentarios;PLANO PREMIUM; R$ 37,90 
26/02/2023;Espírito Santo;ES;6607;Manhã;Terror;PLANO BASICO; R$ 19,90 
18/02/2023;Rio Grande do Norte;RN;6897;Madrugada;Drama;PLANO PADRAO; R$ 27,90 
04/02/2023;Maranhão;MA;7732;Noite;Novas Pers.Sobre. Def;PLANO PREMIUM; R$ 37,90 
23/01/2023;Amapá;AP;921;Noite;Teen;PLANO BASICO; R$ 19,90 
01/03/2023;Mato Grosso do Sul;MS;6238;Madrugada;Asiaticos;PLANO PREMIUM; R$ 37,90 
03/03/2023;Rondônia;RO;3267;Manhã;Novas Pers.Sobre. Def;PLANO BASICO; R$ 19,90 
05/02/2023;Acre;AC;5992;Manhã;Reality e Talks;PLANO PREMIUM; R$ 37,90 
30/03/2023;Bahia;BA;7031;Noite;Reality e Talks;PLANO BASICO; R$ 19,90 
27/03/2023;Amazonas;AM;5876;Tarde;Para Crianças;PLANO PREMIUM; R$ 37,90 
03/01/2023;Bahia;BA;9555;Manhã;Esporte;PLANO PADRAO; R$ 27,90 
10/03/2023;Sergipe;SE;1914;Manhã;Ficção Cientifica e fantasia;PLANO PREMIUM; R$ 37,90 
08/03/2023;Paraná;PR;7085;Manhã;Ciência e Natureza;PLANO BASICO; R$ 19,90 
22/03/2023;São Paulo;SP;8177;Madrugada;Novelas;PLANO PREMIUM; R$ 37,90 
15/03/2023;Roraima;RR;6667;Noite;Novelas;PLANO PREMIUM; R$ 37,90 
26/03/2023;Maranhão;MA;6702;Manhã;Ação;PLANO PREMIUM; R$ 37,90 
23/01/2023;Amapá;AP;3642;Manhã;Ciência e Natureza;PLANO BASICO; R$ 19,90 
17/01/2023;Rio Grande do Sul;RS;3142;Noite;Comédia;PLANO PREMIUM; R$ 37,90 
07/03/2023;Paraná;PR;7179;Noite;Drama;PLANO PREMIUM; R$ 37,90 
24/03/2023;Amazonas;AM;9255;Noite;Misterio;PLANO PREMIUM; R$ 37,90 
24/01/2023;Distrito Federal;DF;1458;Madrugada;Comédia;PLANO PREMIUM; R$ 37,90 
20/01/2023;Tocantins;TO;5869;Noite;Terror;PLANO BASICO; R$ 19,90 
13/01/2023;Minas Gerais;MG;7836;Madrugada;Ciência e Natureza;PLANO BASICO; R$ 19,90 
06/02/2023;Rondônia;RO;5473;Tarde;Reality e Talks;PLANO BASICO; R$ 19,90 
26/02/2023;Pará;PA;4988;Manhã;Politica;PLANO BASICO; R$ 19,90 
30/03/2023;Minas Gerais;MG;5709;Tarde;Novelas;PLANO PREMIUM; R$ 37,90 
28/03/2023;Mato Grosso do Sul;MS;1616;Noite;Braliseiros;PLANO BASICO; R$ 19,90 
02/03/2023;São Paulo;SP;891;Tarde;Drama;PLANO PADRAO; R$ 27,90 
15/02/2023;Mato Grosso;MT;9845;Manhã;Politica;PLANO PADRAO; R$ 27,90 
05/03/2023;Paraíba;PB;4504;Noite;Misterio;PLANO PREMIUM; R$ 37,90 
11/03/2023;Distrito Federal;DF;6685;Noite;Romance;PLANO BASICO; R$ 19,90 
25/03/2023;Sergipe;SE;1893;Manhã;Teen;PLANO BASICO; R$ 19,90 
04/02/2023;Roraima;RR;3841;Madrugada;Asiaticos;PLANO BASICO; R$ 19,90 
19/01/2023;São Paulo;SP;7482;Noite;Asiaticos;PLANO BASICO; R$ 19,90 
11/01/2023;Minas Gerais;MG;7462;Manhã;Ciência e Natureza;PLANO PADRAO; R$ 27,90 
04/03/2023;Rondônia;RO;599;Tarde;Novas Pers.Sobre. Def;PLANO PADRAO; R$ 27,90 
16/03/2023;Paraíba;PB;2231;Madrugada;Drama;PLANO PREMIUM; R$ 37,90 
01/01/2023;Maranhão;MA;3596;Manhã;Series e Documentarios;PLANO BASICO; R$ 19,90 
11/03/2023;Goiás;GO;525;Noite;Reality e Talks;PLANO PADRAO; R$ 27,90 
24/01/2023;Rio Grande do Sul;RS;3326;Tarde;Romance;PLANO PADRAO; R$ 27,90 
16/01/2023;Rio de Janeiro;RJ;7895;Tarde;Romance;PLANO PREMIUM; R$ 37,90 
20/01/2023;Pará;PA;7981;Manhã;EUA;PLANO BASICO; R$ 19,90 
19/03/2023;Ceará;CE;6049;Madrugada;EUA;PLANO PREMIUM; R$ 37,90 
16/03/2023;Mato Grosso do Sul;MS;8994;Noite;Novelas;PLANO PREMIUM; R$ 37,90 
23/02/2023;Acre;AC;4489;Noite;EUA;PLANO BASICO; R$ 19,90 
27/02/2023;Minas Gerais;MG;1023;Manhã;Drama;PLANO BASICO; R$ 19,90 
15/01/2023;Bahia;BA;8606;Madrugada;Politica;PLANO PREMIUM; R$ 37,90 
19/03/2023;Minas Gerais;MG;7068;Noite;Ficção Cientifica e fantasia;PLANO PADRAO; R$ 27,90 
14/01/2023;Minas Gerais;MG;9203;Madrugada;EUA;PLANO PADRAO; R$ 27,90 
23/02/2023;Goiás;GO;1678;Manhã;Braliseiros;PLANO BASICO; R$ 19,90 
09/02/2023;Alagoas;AL;2773;Manhã;Ação;PLANO BASICO; R$ 19,90 
08/03/2023;Espírito Santo;ES;5683;Tarde;Braliseiros;PLANO BASICO; R$ 19,90 
21/02/2023;Roraima;RR;1953;Tarde;Reality e Talks;PLANO PREMIUM; R$ 37,90 
20/01/2023;Pernambuco;PE;932;Tarde;Ficção Cientifica e fantasia;PLANO BASICO; R$ 19,90 
10/03/2023;Acre;AC;949;Madrugada;Asiaticos;PLANO PADRAO; R$ 27,90 
03/01/2023;Tocantins;TO;7990;Manhã;Drama;PLANO PADRAO; R$ 27,90 
26/03/2023;Santa Catarina;SC;1047;Manhã;Ficção Cientifica e fantasia;PLANO PREMIUM; R$ 37,90 
26/02/2023;Pernambuco;PE;648;Madrugada;Ação;PLANO PADRAO; R$ 27,90 
16/03/2023;Bahia;BA;5270;Tarde;Politica;PLANO BASICO; R$ 19,90 
02/03/2023;Minas Gerais;MG;7978;Noite;Teen;PLANO PREMIUM; R$ 37,90 
31/03/2023;Paraíba;PB;6179;Tarde;Asiaticos;PLANO PADRAO; R$ 27,90 
14/01/2023;Distrito Federal;DF;3296;Noite;Comédia;PLANO BASICO; R$ 19,90 
26/03/2023;Minas Gerais;MG;9203;Noite;Ação;PLANO PREMIUM; R$ 37,90 
01/02/2023;Amazonas;AM;2565;Madrugada;Teen;PLANO PREMIUM; R$ 37,90 
23/01/2023;Rio de Janeiro;RJ;4393;Madrugada;Terror;PLANO PREMIUM; R$ 37,90 
25/02/2023;Mato Grosso;MT;5783;Madrugada;Misterio;PLANO PREMIUM; R$ 37,90 
31/03/2023;Pará;PA;8174;Noite;Esporte;PLANO PREMIUM; R$ 37,90 
29/01/2023;Paraíba;PB;5454;Noite;EUA;PLANO PREMIUM; R$ 37,90 
10/01/2023;Rio de Janeiro;RJ;3411;Tarde;Para Crianças;PLANO BASICO; R$ 19,90 
31/01/2023;Roraima;RR;2911;Tarde;Anime;PLANO PREMIUM; R$ 37,90 
31/01/2023;Espírito Santo;ES;6146;Tarde;Novas Pers.Sobre. Def;PLANO PADRAO; R$ 27,90 
19/03/2023;Ceará;CE;5415;Tarde;Politica;PLANO BASICO; R$ 19,90 
12/03/2023;Pará;PA;5820;Noite;Series e Documentarios;PLANO PADRAO; R$ 27,90 
29/03/2023;Alagoas;AL;4088;Madrugada;Asiaticos;PLANO BASICO; R$ 19,90 
01/02/2023;Minas Gerais;MG;908;Tarde;Braliseiros;PLANO BASICO; R$ 19,90 
27/03/2023;Roraima;RR;7911;Madrugada;Ficção Cientifica e fantasia;PLANO PADRAO; R$ 27,90 
25/02/2023;Mato Grosso do Sul;MS;9118;Manhã;EUA;PLANO BASICO; R$ 19,90 
09/02/2023;Sergipe;SE;7492;Madrugada;Politica;PLANO BASICO; R$ 19,90 
01/03/2023;Espírito Santo;ES;7779;Manhã;Ciência e Natureza;PLANO BASICO; R$ 19,90 
12/03/2023;Roraima;RR;8888;Manhã;Terror;PLANO BASICO; R$ 19,90 
01/03/2023;Pará;PA;3086;Tarde;Ciência e Natureza;PLANO BASICO; R$ 19,90 
03/02/2023;São Paulo;SP;7054;Manhã;Comédia;PLANO PADRAO; R$ 27,90 
